[WIN] 2025-12-18 16:45:14 | CPU: 1.21% | Temp: 56°C | GPU: 3.70% | Mem: 63.51% | Disk: 95.66%
[WIN] 2025-12-18 16:45:19 | CPU: 1.21% | Temp: 55°C | GPU: 0.30% | Mem: 63.76% | Disk: 95.66%
[WIN] 2025-12-18 16:45:23 | CPU: 1.21% | Temp: 53°C | GPU: 2.00% | Mem: 63.60% | Disk: 95.66%
[WIN] 2025-12-18 16:45:27 | CPU: 1.82% | Temp: 51°C | GPU: 9.40% | Mem: 63.77% | Disk: 95.66%
[WIN] 2025-12-18 16:45:31 | CPU: 0.60% | Temp: 53°C | GPU: 0.10% | Mem: 63.64% | Disk: 95.66%
[WIN] 2025-12-18 16:45:36 | CPU: 1.20% | Temp: 51°C | GPU: 2.70% | Mem: 63.57% | Disk: 95.66%
[WIN] 2025-12-18 16:45:40 | CPU: 1.22% | Temp: 53°C | GPU: 0.10% | Mem: 64.00% | Disk: 95.66%
[WIN] 2025-12-18 16:45:44 | CPU: 1.21% | Temp: 52°C | GPU: 2.60% | Mem: 63.83% | Disk: 95.66%
[WIN] 2025-12-18 16:45:49 | CPU: 0.00% | Temp: 53°C | GPU: 0.00% | Mem: 63.95% | Disk: 95.66%
[WIN] 2025-12-18 16:45:53 | CPU: 0.00% | Temp: 52°C | GPU: 0.10% | Mem: 63.69% | Disk: 95.66%
[WIN] 2025-12-18 16:45:57 | CPU: 1.21% | Temp: 52°C | GPU: 2.20% | Mem: 63.69% | Disk: 95.66%
[WIN] 2025-12-18 16:46:02 | CPU: 1.21% | Temp: 54°C | GPU: 6.60% | Mem: 63.67% | Disk: 95.66%
[WIN] 2025-12-18 16:46:06 | CPU: 4.91% | Temp: 59°C | GPU: 6.90% | Mem: 64.41% | Disk: 95.66%
[WIN] 2025-12-18 16:46:10 | CPU: 2.42% | Temp: 69°C | GPU: 0.30% | Mem: 64.96% | Disk: 95.66%
[WIN] 2025-12-18 16:46:15 | CPU: 79.89% | Temp: 67°C | GPU: 80.50% | Mem: 64.37% | Disk: 95.66%
[WIN] 2025-12-18 16:46:24 | CPU: 4.22% | Temp: 92°C | GPU: 9.60% | Mem: 66.24% | Disk: 95.66%
[WIN] 2025-12-18 16:46:28 | CPU: 1.82% | Temp: 82°C | GPU: 7.60% | Mem: 66.30% | Disk: 95.66%
[WIN] 2025-12-18 16:46:33 | CPU: -0.00% | Temp: 73°C | GPU: 0.10% | Mem: 64.39% | Disk: 95.66%
[WIN] 2025-12-18 16:46:37 | CPU: 1.20% | Temp: 66°C | GPU: 3.00% | Mem: 64.28% | Disk: 95.66%
